family,Longitude,Latitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,AWC,CEC,PH,TEB,toN,wind_flower,vapr,srad,srad_leaf
CC20,109.2579,28.82571389,16.5808334350586,7.65633296966553,25.9995021820068,792.980712890625,31.5,2.05200004577637,29.4479999542236,24.0573329925537,6.56933355331421,26.0726661682129,6.56933355331421,1379.0,236.0,27.0,60.2720909118652,620.0,94.0,556.0,94.0,163.0,11.0,5.30000019073486,5.0,1.53999996185303,1.5746666987737032,1.5439333468675625,12718.666666666666,15758.857142857143
CC21,107.2885758,28.92299051,12.4278335571289,6.52499961853027,24.2565040588379,739.700378417969,26.1599998474121,-0.740000009536743,26.8999996185303,19.4500007629395,2.91466665267944,21.2426662445068,2.91466665267944,1245.0,191.0,23.0,61.2821655273438,541.0,74.0,516.0,74.0,144.0,18.0,5.19999980926514,6.0,2.3199999332428,2.27999997138977,1.2777666648228965,12056.333333333334,14922.857142857143
CC22,109.28001939999999,28.937127780000004,13.152999877929698,7.34866666793823,25.9120826721191,766.251586914062,27.224000930786097,-1.1360000371933,28.3600006103516,20.4153327941895,3.45866656303406,22.3239994049072,3.45866656303406,1462.0,236.0,30.0,58.4820556640625,638.0,102.0,585.0,102.0,159.0,13.0,5.90000009536743,9.0,1.33000004291534,2.0306666294733664,1.2866666664679844,12521.083333333334,15465.142857142859
CC23,107.56782349999999,29.0749859,12.8994998931885,6.80699968338013,24.912164688110398,744.9712524414059,26.8999996185303,-0.42399999499321,27.3239994049072,19.9486656188965,3.38733339309692,21.8266658782959,3.38733339309692,1274.0,194.0,23.0,60.75533294677731,550.0,75.0,519.0,75.0,163.0,11.0,5.30000019073486,5.0,1.53999996185303,2.1973333358764635,1.2937000195185344,12131.25,15022.42857142857
CC24,107.5846305,29.1097030925,12.9648332595825,6.78033351898193,24.7493572235107,748.057922363281,27.007999420166,-0.388000011444092,27.3959999084473,20.0406665802002,3.40133333206177,21.9160003662109,3.40133333206177,1272.0,194.0,22.0,60.8984451293945,550.0,74.0,517.0,74.0,41.0,18.0,6.5,16.0,1.49000000953674,2.1653333504994734,1.3149666686852766,12163.583333333334,15062.0
CC25,109.1686111,29.49027778,15.3719997406006,7.39599990844727,25.7413330078125,778.0779418945309,29.7880001068115,1.05599999427795,28.732000350952102,22.7186660766602,5.50333309173584,24.6753330230713,5.50333309173584,1436.0,233.0,24.0,61.28353118896481,640.0,86.0,594.0,86.0,159.0,13.0,5.900000095367429,9.0,1.33000004291534,1.6973333756128934,1.427833318710327,12650.25,15649.142857142857
CC26,109.841825,29.69675833,14.4425001144409,7.53966665267944,25.9701919555664,782.773010253906,28.9120006561279,-0.119999997317791,29.0320014953613,21.8413333892822,4.52466678619385,23.8166675567627,4.52466678619385,1467.0,235.0,27.0,60.5113105773926,653.0,95.0,620.0,95.0,41.0,18.0,6.5,16.0,1.49000000953674,1.8026666243871068,1.3620000034570694,12867.166666666666,15841.285714285714
CC27,110.0566667,29.75833333,11.746833801269497,7.19166660308838,25.319204330444297,772.360595703125,25.7759990692139,-2.62800002098083,28.4039993286133,19.1059989929199,1.98066663742065,21.0366668701172,1.98066663742065,1510.0,231.0,31.0,58.1209182739258,651.0,106.0,627.0,106.0,41.0,18.0,6.5,16.0,1.4900000095367403,2.161333243052164,1.186633331080279,12762.916666666666,15670.0
CC28,110.0893708,29.78169134,12.141500473022498,7.30499982833862,25.5705680847168,774.39404296875,26.2040004730225,-2.36400008201599,28.568000793457,19.5100002288818,2.33599996566772,21.4420013427734,2.33599996566772,1502.0,231.0,30.0,58.467113494873,651.0,104.0,627.0,104.0,159.0,13.0,5.900000095367429,9.0,1.33000004291534,2.0919999281565334,1.216233340402445,12795.916666666666,15710.0
CC29,110.3333333,30.05,10.5425004959106,7.82766675949097,27.1907272338867,766.377014160156,24.5799999237061,-4.20800018310547,28.7880001068115,17.8773326873779,0.869999945163727,19.7973327636719,0.869999945163727,1489.0,219.0,30.0,58.1456031799316,634.0,102.0,621.0,102.0,159.0,13.0,5.90000009536743,9.0,1.33000004291534,2.4306666056315103,1.1042666609088576,12879.166666666666,15763.142857142857
