Sample,Longitude,Latitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,AWC,CEC,PH,TEB,toN,wind_flower,vapr,srad,srad_leaf
CYN1-1,100.1356361,26.25835278,11.9685001373291,10.8990001678467,47.7356338500977,452.8681640625,21.3999996185303,-1.432000041008,22.8319988250732,17.0553321838379,6.5493335723877,17.0553321838379,6.01933336257935,844,141,13,62.9078063964844,389,57,389,62,159,13,5.90000009536743,9,1.33000004291534,2.5026666323343902,1.026733341316381,14765.416666666666,15204.285714285714
CYN1-5,100.1356361,26.25835278,11.9685001373291,10.8990001678467,47.7356338500977,452.8681640625,21.3999996185303,-1.432000041008,22.8319988250732,17.0553321838379,6.5493335723877,17.0553321838379,6.01933336257935,844,141,13,62.9078063964844,389,57,389,62,159,13,5.90000009536743,9,1.33000004291534,2.5026666323343902,1.026733341316381,14765.416666666666,15204.285714285714
CYN1-6,100.1356361,26.25835278,11.9685001373291,10.8990001678467,47.7356338500977,452.8681640625,21.3999996185303,-1.432000041008,22.8319988250732,17.0553321838379,6.5493335723877,17.0553321838379,6.01933336257935,844,141,13,62.9078063964844,389,57,389,62,159,13,5.90000009536743,9,1.33000004291534,2.5026666323343902,1.026733341316381,14765.416666666666,15204.285714285714
HHB01,110.1666667,26.38333333,13.978666305542,7.33800029754639,26.5254497528076,750.421325683594,27.3239994049072,-0.340000003576279,27.6639995574951,18.0113334655762,6.22733306884766,22.8073329925537,4.3953332901001,1533,255,44,54.594539642334,687,173,539,175,159,13,5.90000009536743,9,1.33000004291534,2.1879999637603733,1.4355666637420657,13028.083333333334,15958.0
HH20,110.1666667,26.38333333,13.978666305542,7.33800029754639,26.5254497528076,750.421325683594,27.3239994049072,-0.340000003576279,27.6639995574951,18.0113334655762,6.22733306884766,22.8073329925537,4.3953332901001,1533,255,44,54.594539642334,687,173,539,175,159,13,5.90000009536743,9,1.33000004291534,2.1879999637603733,1.4355666637420657,13028.083333333334,15958.0
HH21,110.1666667,26.38333333,13.978666305542,7.33800029754639,26.5254497528076,750.421325683594,27.3239994049072,-0.340000003576279,27.6639995574951,18.0113334655762,6.22733306884766,22.8073329925537,4.3953332901001,1533,255,44,54.594539642334,687,173,539,175,159,13,5.90000009536743,9,1.33000004291534,2.1879999637603733,1.4355666637420657,13028.083333333334,15958.0
HH7-1,110.1666667,26.38333333,13.978666305542,7.33800029754639,26.5254497528076,750.421325683594,27.3239994049072,-0.340000003576279,27.6639995574951,18.0113334655762,6.22733306884766,22.8073329925537,4.3953332901001,1533,255,44,54.594539642334,687,173,539,175,159,13,5.90000009536743,9,1.33000004291534,2.1879999637603733,1.4355666637420657,13028.083333333334,15958.0
CHN1-1,110.1369377,26.4415701,13.2239999771118,7.16933298110962,26.1311168670654,747.248046875,26.4759998321533,-0.960000038146973,27.4360008239746,17.2140007019043,5.53333330154419,22.0259990692139,3.68733334541321,1542,255,43,54.7084693908691,687,169,549,171,163,11,5.30000019073486,5,1.53999996185303,2.2533333301544203,1.3751666744550075,12992.5,15886.0
CHN1-2,110.1369377,26.4415701,13.2239999771118,7.16933298110962,26.1311168670654,747.248046875,26.4759998321533,-0.960000038146973,27.4360008239746,17.2140007019043,5.53333330154419,22.0259990692139,3.68733334541321,1542,255,43,54.7084693908691,687,169,549,171,163,11,5.30000019073486,5,1.53999996185303,2.2533333301544203,1.3751666744550075,12992.5,15886.0
CHN1-3,110.1369377,26.4415701,13.2239999771118,7.16933298110962,26.1311168670654,747.248046875,26.4759998321533,-0.960000038146973,27.4360008239746,17.2140007019043,5.53333330154419,22.0259990692139,3.68733334541321,1542,255,43,54.7084693908691,687,169,549,171,163,11,5.30000019073486,5,1.53999996185303,2.2533333301544203,1.3751666744550075,12992.5,15886.0
