Sample,Longitude,Latitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
CM38,104.51,34.66,5.38233327865601,10.2039995193481,29.7180805206299,856.26171875,21.4440002441406,-12.8920001983643,34.3359985351562,14.478666305542,-5.83200025558472,15.4259996414185,-5.83200025558472,579,105,3,82.2050094604492,298,11,285,11
CM24,104.51,34.66,5.38233327865601,10.2039995193481,29.7180805206299,856.26171875,21.4440002441406,-12.8920001983643,34.3359985351562,14.478666305542,-5.83200025558472,15.4259996414185,-5.83200025558472,579,105,3,82.2050094604492,298,11,285,11
CM23,104.51,34.66,5.38233327865601,10.2039995193481,29.7180805206299,856.26171875,21.4440002441406,-12.8920001983643,34.3359985351562,14.478666305542,-5.83200025558472,15.4259996414185,-5.83200025558472,579,105,3,82.2050094604492,298,11,285,11
CM22,104.51,34.66,5.38233327865601,10.2039995193481,29.7180805206299,856.26171875,21.4440002441406,-12.8920001983643,34.3359985351562,14.478666305542,-5.83200025558472,15.4259996414185,-5.83200025558472,579,105,3,82.2050094604492,298,11,285,11
CM8,103.97,35.84,2.76316666603088,9.6676664352417,28.7181167602539,858.916870117188,18.5559997558594,-15.1079998016357,33.6640014648438,12.0093336105347,-8.31999969482422,12.9246664047241,-8.31999969482422,462,98,1,90.8991851806641,261,5,252,5
CM32,103.97,35.84,2.76316666603088,9.6676664352417,28.7181167602539,858.916870117188,18.5559997558594,-15.1079998016357,33.6640014648438,12.0093336105347,-8.31999969482422,12.9246664047241,-8.31999969482422,462,98,1,90.8991851806641,261,5,252,5
CM31,103.97,35.84,2.76316666603088,9.6676664352417,28.7181167602539,858.916870117188,18.5559997558594,-15.1079998016357,33.6640014648438,12.0093336105347,-8.31999969482422,12.9246664047241,-8.31999969482422,462,98,1,90.8991851806641,261,5,252,5
CM30,103.97,35.84,2.76316666603088,9.6676664352417,28.7181167602539,858.916870117188,18.5559997558594,-15.1079998016357,33.6640014648438,12.0093336105347,-8.31999969482422,12.9246664047241,-8.31999969482422,462,98,1,90.8991851806641,261,5,252,5
CM11,103.97,35.84,2.76316666603088,9.6676664352417,28.7181167602539,858.916870117188,18.5559997558594,-15.1079998016357,33.6640014648438,12.0093336105347,-8.31999969482422,12.9246664047241,-8.31999969482422,462,98,1,90.8991851806641,261,5,252,5
CM10,103.97,35.84,2.76316666603088,9.6676664352417,28.7181167602539,858.916870117188,18.5559997558594,-15.1079998016357,33.6640014648438,12.0093336105347,-8.31999969482422,12.9246664047241,-8.31999969482422,462,98,1,90.8991851806641,261,5,252,5
