,CC1,CC10,CC11,CC12,CC121,CC13,CC14,CC15,CC16,CC17,CC18,CC19,CC2,CC20,CC21,CC22,CC23,CC24,CC25,CC26,CC27,CC28,CC29,CC3,CC30,CC31,CC32,CC33,CC34,CC35,CC36,CC37,CC38,CC39,CC4,CC40,CC41,CC42,CC43,CC44,CC45,CC46,CC47,CC48,CC49,CC5,CC50,CC51,CC6,CC66,CC7,CC8
CC18,862592.194219729,602023.714952821,475862.979924189,364611.895740413,695940.566905309,506958.750731542,441843.801318909,894466.929400629,484070.569975035,517758.603560181,0,302569.101810299,862523.2082329,1210264.94235925,751736.479119477,831899.042363057,804987.376759942,812504.980369073,1081537.60388285,982104.741356258,689266.185050238,732545.474797483,568472.132854827,740949.162371521,716582.601554402,866800.285570711,413277.033717854,549497.69483883,518825.201185216,523462.289254128,586504.152718899,781583.959105272,794807.642017771,505127.220922072,740925.862403552,925010.097864502,507939.882678358,773456.943025971,596941.305435788,597118.117326663,589340.383888877,567488.135109864,699246.145206395,626134.5699545,778733.196754899,853463.948591845,779251.868460118,779255.348402444,867689.142690793,989898.77959683,1075247.87411747,412810.914438808
CC19,616787.937652545,331545.347704638,228213.278366408,162895.333601608,418201.561073397,228293.201255183,160002.032488159,596802.038801673,189285.273594986,219934.280943266,302569.101810299,0,616682.621002499,909039.329379792,449758.507065958,529991.371482705,502667.480142231,510127.089699998,778996.495527903,679640.978944305,388930.352513207,431718.119953673,277831.757864483,485787.841112314,426263.243738523,577162.655014298,299386.848224301,361861.591438336,356720.531169814,358683.264642885,382914.791959022,523233.039953715,535268.008125047,485993.871999997,485747.68161314,665206.090763986,512969.479825166,557205.909030503,515535.632591416,515726.49609141,540272.978572032,583142.500056675,552578.479353215,553897.667241713,622662.91406776,553256.76137537,623273.307234778,623277.402032125,595798.405076035,689102.152732374,789714.224404292,229919.219833088
CC2,173.708071871141,289726.972562118,393912.112567657,498834.418671378,640322.639199026,392156.329565894,458244.406138815,319230.145465968,447126.08991997,433636.204236102,862523.2082329,616682.621002499,0,556280.72593279,385176.041143215,385534.193908054,399004.315486395,402947.041309286,524349.42114297,498456.119983526,488691.981360984,482144.181449148,565972.440773623,132363.780481275,578936.835649027,631612.611232751,858652.297031363,822820.254280349,851342.960048097,849470.445252482,810152.578277876,752678.993535545,754529.031877627,1058915.34911753,132412.956454234,824857.093985584,1094542.48658463,883162.58497014,1040047.9868438,1040209.52970491,1085449.25355471,1162061.89036134,997871.240468814,1078342.57977311,1035296.35212771,349396.41437654,1035880.64747161,1035884.56723876,121605.804708197,560975.413184258,302351.932568219,451502.200575637
CC20,556394.98013369,645160.492746399,771240.399175674,881204.780935805,625998.082131936,717007.340278985,774621.797920984,322952.326417456,727580.002754044,693000.70390328,1210264.94235925,909039.329379792,556280.72593279,0,459625.689869591,379471.296035333,408209.834333761,401265.051607904,151507.070728708,254399.503458388,544227.975871758,501882.111374482,681059.898890379,580654.427778237,566395.828275519,472729.404779601,1002571.40089753,886223.910599233,932956.052794285,928269.408294189,850281.965997479,656252.267135156,647819.866961866,1170603.41747843,580621.410722287,620832.169909541,1213416.44674606,798803.57318442,1092867.87790226,1092954.80353712,1153035.21418728,1265051.89063444,979210.457076956,1121811.87678557,972906.720844722,357310.899323211,973283.818911784,973286.349420905,451379.214256076,289215.273639724,269197.438380346,869808.141573603
CC21,385348.785819696,243434.441209127,343974.476968352,441632.80426305,263877.961679385,277409.73419455,324518.019526482,163944.753549652,273361.298743279,237620.25190037,751736.479119477,449758.507065958,385176.041143215,459625.689869591,0,80238.91260509,54729.3246101761,62773.2368876008,331457.080687901,238119.751063981,118091.129489231,98639.5852762077,242099.860940621,294457.641644045,198027.838726521,257012.190178456,573370.834111846,489545.89302426,528891.69374841,525445.479484317,465316.503239662,368609.395990138,369836.366386365,761324.019981281,294388.862383976,443650.407352733,802139.229930139,504314.860713925,711487.502273713,711620.285467349,765436.46876173,862608.85931567,639527.391098529,746852.61715099,665684.930851802,109959.05281823,666235.247023757,666238.939129052,283413.226912604,266351.492710667,387701.340700783,447306.043167338
CC22,385706.975849383,303906.934727844,415068.185187121,516985.397195313,306385.793609985,351652.852302415,402334.174319197,102362.728727654,352240.681983771,316764.322068667,831899.042363057,529991.371482705,385534.193908054,379471.296035333,80238.91260509,0,31782.6229947027,27994.4513476622,252665.094665666,164621.001797122,179357.082684876,144704.312243626,313199.114771113,319298.591957376,238132.865628867,247878.87438718,643846.280883541,549791.725550084,591743.651219952,587903.420185324,521750.859428997,393095.265170934,391568.419673035,827231.090238315,319235.006274524,443168.548987684,868749.06481175,536453.647994814,769828.806414576,769950.839362989,825772.023010355,927224.054609195,686341.837243933,803840.000305442,704774.021521408,45596.042969072,705291.116495262,705294.585884511,270637.064612525,204235.327338541,328413.74393251,518050.766075785
CC23,399177.946100556,291909.579226693,397273.427292949,496148.63080833,277223.433832164,331600.701090348,379243.859644076,132120.610063474,327953.565698339,292145.110645903,804987.376759942,502667.480142231,399004.315486395,408209.834333761,54729.3246101761,31782.6229947027,0,8150.70812003465,277208.857816369,183485.982136706,147594.805949309,113716.760786385,281561.332248458,323155.574185907,209016.148841076,232699.020290328,612092.295549727,518454.222617293,560195.69182285,556384.72082608,490822.653586396,368348.903154092,367551.218905062,795528.413193348,323089.44902834,426200.05945506,837018.189779967,510163.789121921,738781.573602456,738904.945981556,794511.510469936,895603.833654821,657061.438796503,772974.513842155,677091.411006082,74553.031936665,677616.326021004,677619.84785374,287860.29613356,214607.649293492,358821.316768825,500576.403205898
CC24,403120.552098638,299786.260578236,405417.974941804,504266.663527892,278715.51072475,339743.235312342,387259.703307699,130049.542888298,335879.480753135,300046.001238779,812504.980369073,510127.089699998,402947.041309286,401265.051607904,62773.2368876008,27994.4513476622,8150.70812003465,0,269481.00026966,175383.436137145,152090.177008272,116743.866730161,286889.214728955,329048.238606356,210458.994746881,228678.615901587,617022.413655025,521891.269164364,563975.620922086,560110.19022682,493760.808876219,367590.768349892,366493.154442827,799668.78915557,328982.514156597,422807.541967053,841256.061635247,510121.26514167,741848.713889492,741970.570424617,797837.852440571,899524.707519102,658665.663594237,775846.154329471,677757.615910578,72766.0093919912,678278.417673648,678281.911933931,290757.459706887,206621.496601785,356351.271759457,508719.03141897
CC25,524494.950147107,545158.118890634,664034.743752911,768715.01414983,475173.139353143,603167.862654305,654998.744045729,229325.191076679,604674.903903854,569032.6749701,1081537.60388285,778996.495527903,524349.42114297,151507.070728708,331457.080687901,252665.094665666,277208.857816369,269481.00026966,0,105219.261271111,402120.287930863,358800.229825126,537729.158085982,513858.693277237,416867.718710975,322142.764199834,854419.148259925,735426.128347908,782431.752520733,777681.407364691,699100.946000645,505910.717873816,497862.033428826,1019850.28302057,513811.468065947,479881.30095208,1062724.26168639,649667.77852895,941362.709347717,941449.508125001,1001554.38697803,1113839.28372755,828541.83327824,970337.784685529,824251.16052582,243480.06518348,824644.41209876,824647.05107668,405787.731181472,139353.110509803,295184.097201553,766012.253419878
CC26,498617.591331199,467708.621474356,579428.933111662,679617.403650781,371784.288076998,514866.888582226,562355.703608335,180395.538061491,510415.162325882,474441.487911996,982104.741356258,679640.978944305,498456.119983526,254399.503458388,238119.751063981,164621.001797122,183485.982136706,175383.436137145,105219.261271111,0,298300.278193445,254733.062178582,433148.392723359,462437.073867417,312158.158216195,229367.150522501,749323.707335545,631926.633822314,678567.115565087,673892.134619026,596384.226650248,411829.267444211,404999.687778175,916262.202268358,462381.019681278,405390.413913126,959053.099731916,557919.522801326,840376.28257278,840468.756294405,900096.781035825,1011108.57271331,732237.477465895,870245.22201964,732811.923749055,170438.509420226,733236.902127952,733239.753941979,376851.134633163,67626.5677561948,328772.629966629,682527.292155011
